w,pron,fra,spa,hin,deu,jpn,fin,bul,nor,dan,ara,ces,cym,ell,gle,hrv,hun,ita,lat,lit,nld,pol,por,rom,rus,srp,swe,swh,tur,afr
animal,æniməl,"animal, bête","animal, bestia","पशु, We should be kind to animals.",,"動物, 生き物, 動物, 獣, 生物, けだもの, 動物","eläin, eläimellinen, animaalinen, sielullinen, eläimellinen, eläin","животински, необуздан, животински",dyr,,,zvíře,anifail,,"ainmhí, beithíoch, míol","animalan, faune, životinja, životinjski, životinjskih","élôlény, állat, állat-, állati","animale, bestia","animal, bestia, fera",,,,"animal, bicho",,,,"djurisk, djur, best",,"hayvan, hayvanlara ait hayvani diriksel. animal breeding hayvan besleme. animal heat vücut sıcaklığı. animal husbandry hayvancılık. animal kingdom hayvanlar âlemi. animal magnetism çekicilik. animal nature insandaki hayvansal tabiat. animal psychology hayvan psikolojisi. animal spirits canlılık, hayatiyet. animal worship hayvana tapma, hayvanperestlik. domestic animal ehli hayvan, evcil hayvan. wild animal vahşi hayvan, yabani hayvan.","dier, bees"
ankle,æŋkl,cheville,tobillo,"टखना, He jumped from the tractor and got his ankle twisted.",,"足首, 踝",nilkka,глезен,ankel,,,kotník,,,"caol na coise, murnán, rúitín","gležanj, članak na nozi",boka,caviglia,,,,,"artelho, maléolo, tornozelo",,,,ankel,,"ayak bileği. ankle bone (anat.) aşık kemiği, astragalus.",
anniversary,ænivəːsəriː,anniversaire,,"वर्षगाँठ, This is their 25th wedding  anniversary.",,"記念日, アニバーサリー, 周年, 結婚記念日","vuosipäivä, hääpäivä","годи́шнина, юбиле́й","jubileum, årsdag, bryllupsdag",,,výroční,,,,"godišnjica, obljetnica, obljetnicom, obljetnicu",évforduló,compleanno,,,,,aniversário,,,,,,"yıl dönümü, senei  devriye, yıl dönümünü kutlama.",
announce,ənauns,"annoncer, introduire, publier","anunciar, publicar","घोषणा~कर, She announced the withdrawl of her financial support to the institute.",,"発表, 知らせる","julistaa, ilmoittaa, kuuluttaa","обявявам, съобщавам, уведомявам",,,,oznamovat,hysbysu,,fógair,"izvijestiti, nagovijestiti, najaviti, obavijestiti, objaviti, obznaniti, oglasiti, priopćiti",,"annunciare, annunziare, pubblicare",annuntiare,paskelbti,,,"anunciar, noticiar, notificar",,,,"anmäla, annonsera, bebåda, meddela",,"bildirmek, beyan etmek, haber vermek, ilân etmek. announcer  spiker. announcement  tebliğ, ilân, bildiri.","aandien, aankondig, aansê, adverteer, annonseer, meld"
annoy,ænɔi,"agacer, indigner, chagriner",,"चिढ़ाना, सताना, I was annoyed when they abused me.",,"いらいらさせる, 煩わす, 苦しめる, 騒がす",ärtymys,"безпоко́я, дразня́, досаждам, закачам, безпокоя",,,,znepokojovat,,,,"dosađivati, ljutiti, neprijatnost, neprilika, ozlovoljiti, uznemirivati",,,,"(su)erzinti, pykinti, pristoti, neduoti ramybės",,,"irritar, afligir, magoar, molestar",,,,förarga,,"tâciz etmek, usandırmak, sıkmak, başını ağrıtmak, canını sıkmak, kızdırmak. annoyance  sıkıntı, üzüntü, rahatsızlık. annoying  sinirlendirici, can  sıkıcı.",
annoyed,/əˈnɔɪd/,,,,,いらいら,"nyrpeä, närkästynyt, ärsyyntynyt","раздразнен, ядосан","irritert, ergerlig, forarget, forbannet",,,rozzlobený,,,,,,,,,,,,,,,,,,
annoying,/əˈnɔɪ.ɪŋ/,,,,,煩い,"närkästyttävä, ärsyttävä",досаден,"irriterende, brysom, enerverende, plagsom",,,otravný,annifyr,,,"dosadan, neprijatan, neugodan",bosszantó,,,apmaudus,,,"chato, irritante, aborrecedor",,,,,,,
annual,ænjeəl,annuel,anualmente,"वार्षिक, We get ‘Reader's Digest' on an annual subscription. ",,毎年,"yksivuotinen kasvi, vuosikirja, vuositarkastus","ежего́ден, годи́шен",,,,každoroční,blynyddol,,,"godišnjak, godišnje, godišnji, godišnjim, godišnjom, jednog biljka, jednogodišnji, ljetopis, ljetopisa","évi, évenkénti, évkönyv, egynyári növény, egy évi",annuale,"anniversarius, annuus",,,,anual,,,,,,"yıllık, salname, (bot.)  bir yıl ömrü olan bitki, senelik, her sene. annually  her sene, yılda bir.",jaarliks
annually,/ˈæn.ju.ə.li/,,,"वार्षिक~में, The bills have to be paid anually only.",,毎年,vuosittain,,,,,ročně,,,,"godišnje, jednom u godini",,,,,,,anualmente,,,,,,,
another,ənʌðər,"autre, autrui, supplémentaire",otro,"एक~और, दूसरा, Would you like to have another cup of tea?, Take this book and bring another one.",,"他の, 別の, もう, もう一つ","toinen, muu, toinen, lisä","друг, разли́чен, друг, още́ еди́н",enda,,,jiný,,,eile,"drugi, drugim, drugo, drugoj, drugom, drugu, još jedan, neki drugi, slijedeće, slijedećih, sljedeći",,altro,alius,"kitas, antras, dar vienas",,,um outro,,другой,,annan,,"(zam.) başka, ayrı, diğer, sair, öbür, (zam.) bir daha, başka, aynı. one after another birbiri arkasından, sıra ile. one another birbirini, yekdiğerini.You're anotherl Sen del","ander, nog 'n"
answer,ænsər,"correspondre à, respondre, réponse","corresponderal, contestar, responder, contestara, respondera, contestación, respuesta","उत्तर, She didn't want to give any answer his question.",,"返事, 返答, 答え, 回答, 応答, 解答","vastata, avata, vastata","отвръ́щам, отвъ́рна, отгова́рям, отгово́ря, отгова́рям, отгово́ря, подхо́ждам","svare, svar, oppfylle, tilfredsstille",,,odezva,ateb,,"freagair, freagra","odazivati se, odbrana, odgovor, odgovoriti, odziv, rješenje problema","védekezés, válasz, válaszbeszéd, megoldás, visszavágás, felelet, riposzt, megoldás (feladaté)","replicare, rispondere, rispondere a, risposta","respondere, responsum","atsakyti, atsiliepti, atitikti, laiduoti (for), atsakymas, (mat.) sprendimas",,,"corresponder, responder, resposta",,"отвечать, ответить",,"svara, besked, genmäle, replik, svar",,"cevap, karşılık, mukabele, (müz.) bir çalgının başka bir çalgıya cevap vermesi, hesabın doğru sonucu. answerless  cevapsız.","antwoord, beantwoord, beskeid"
anti-,/ˈæn.ti/,,,,,"反, 反対, 逆, 非","anti-, epä-, vasta-",,anti-,,,,,,,,"ellen-, anti-, elleni-",,,,,,,,,,,,,
anticipate,æntisipeit,anticiper,,"पूर्वानुमान करना, He had anticipated the rail accident. ",,予想,"ennakoida, varautua, odottaa, varautua, ennakoida","изпреварвам, предви́ждам, прибързвам",,,,předejít,blaenbrofi,,,"anticipirati, opomenuti, predosjetiti, predvidjeti, predviđati, prethoditi, unaprijed uzeti u obzir, upozoriti",,anticipare,,,,,antecipar,,,,,,"beklemek, ummak, önceden tahmin etmek sezinlemek, geleceği görmek, önce davranmak.",antisipeer
anxiety,æŋzaiətiː,anxiété,,"उत्सुकता, Cricket lover was watching match with great an anxiety., चिन्ता, व्याकुलता, Clearing the main examination of IAS is his anxiety at present.",,心配,"ahdistus, huolestuneisuus, huoli, levottomuus, ahdistus, ahdistuneisuushäiriö, hinku, kiihkeä halu","безпоко́йство, гри́жа, трево́га, си́лно жела́ние",angst,,,nedočkavost,,,,"anksiozni, anksioznost, briga, depresivnost, nemir, tjeskoba, uznemirenost, zabrinutost","aggodalom, aggódás, aggály","ansia, ansietà",,"susirūpinimas, rūpestis, nerimas, neramumas, nerimastavimas (about, over), troškimas (for)",,,ansiedade,,,,,,"endişe, kuruntu, vesvese, korku, huzursuzluk, büyük arzu.",
anxious,æŋkʃəs,"agité, inquiet",inquieto,"चिन्तित, We had a few anxious moments before the plane landed safely., उत्सुक, They are anxious that who will be the Prime Minister.",,心配,"hermostuttava, huolestuttava, halukas, innokas, ahdistunut, hermostunut, huolestunut, jännittynyt, hermostunut, huolestunut","загрижен, горящ от желание, обезпокоен, разтревожен",,,,starostlivý,,,,"koji žudi, mučan, nemiran, nestrpljivo, uzbuđen, uznemiren, zabrinut, željan","aggódó, nyugtalan",,,,,,"ansioso, inquieto",,,,,,"endişeli, mustarip, sıkıntılı, vesveseli, üzüntülü, to veya for ile çok arzulu, istekli, hevesli. anxiously  endişe ile, istekle. anxiousness  endişe, ıstırap, huzursuzluk sit in the anxious seat ABD, (k.dili) endişeli olmak, diken üzerinde oturmak.","bedug, benoud, bekommerd"
anxiously,/ˈæŋ(k).ʃəs.li/,,,"उद्वेग से, 'When will you come?',he asked anxiously.",,,ahdistuneesti,,,,,úzkostlivě,,,,,,,,,,,ansiosamente,,,,,,,
any,æniː,"un, quelqu'un, quelques","alguien, alguno, cierto, unas, unos","किसी~भी~स्थिति~में, Is your mother any better?",,任意,yhtään,"всеки, кой да е, който и да е, никой, някой",,,,nějakou,unrhyw,,duine éigin,"bilo kakav, bilo kakvu, bilo koje, bilo kojeg, bilo koji, bilo kojoj, bilo što, ikakav, ikakvih, ikoji, ikoliko, itko, išta, jedan, kojekakav, koji bilo, ma, ma koji, neki, nekoliko, nešto, nikakav, nikoji, svaka, svaki, svako, svatko, što","bármelyik, semmivel, valaki, bárki, akárki, bármi, valamivel, bármely, akármi, valami",,"aliquis, quisquis","kas nors, koks nors, kiek nors, bet koks, bet kuris, šiek tiek, (amer.) iš viso, apskritai",,,"qualquer, alguém, algum, uma pessoa, alguns, certo número de, vários, quem quer que seja, seja lá quem for",,кто‐то,"когод, неко","någon, somliga",,"(zam.) bir herhangi, her ne kadar, her, her bir, bazı, birkaç, biraz, hiçbir, hiç, daha.",enige tyd
anybody,enibɔdiː,"un, quelqu'un","alguien, alguno, cierto","किसी~को~भी, I can't lend my book to anybody., कोई~भी, Anybody can come to the TV lounge. ",,,"joku, kukaan",важна клечка,,,,kdokoli,,,duine éigin,"iko, itko, kogod, kojeko, kojetko, ma tko, neko, netko, svako, svatko","valaki, akárki, bárki",,aliquis,"bet kas, kiekvienas, kas nors",,,"alguém, algum, uma pessoa",,кто‐то,"когод, неко",någon,,"(zam.) kimse, herhangi  bir kimse, hiç kimse, herkes, her kim. He   isn't just anybody. O herhangi bir kimse  değil.","iemand, enigiemand"
anyone,/ˈɛniˌwʌn/,,,"कोई एक, Anyone of you can go and get the tickets.",,"誰でも, 誰も","joku, ketään, kuka tahansa","все́ки, ко́йто и да е, ня́кой","hvem som helst, noen, enhver",,,kdokoli,,,,"bilo ko, bilo kome, bilo tko, ijedan, iko, itko, ma tko, svako, svatko",,,,bet kas,,,"alguém, qualquer um, qualquer pessoa",,,,,,(zam) herhangi bir kimse.,
anything,eniθiŋ,quelque chose,algo,"कुछ भी, Do you want anything to eat?",,何でも,mikä tahansa,"каквото и да е, нещо",,,,něco,,,,"bilo čime, bilo šta, bilo što, išta, išto, ma što, nešto, svašta, sve, svega, što god se hoće, štogod",,,,"kas nors (klaus. sakinyje), niekas, nieko, bet kas, bet kuris, bet koks",,,"algo, alguma coisa, qualquer coisa",,,нешто,"någonting, något",,"(zam.) bir şey, herhangi bir şey, her şey hiç bir şey. anything but... olmasın da ne olursa olsun.","iets, enigiets"
anyway,æniwei,"de façon ou d'autre, d'une façon ou d'une autre",,"कैसे भी, You can solve this problem in anyway.",,"とにかく, とにかく, いずれにしても, どうせ, 何しろ","joka tapauksessa, kuitenkin, siitä huolimatta, joka tapauksessa, miten vain, se sikseen, ainakaan",,uansett,,,přece jen,,,"ar chaoi éigin, ar chuma éigin, ar dhoigh éigin","bilo kako, inače, ionako, na svaki način, pa ipak, pa ma što bilo, u svakom slučaj, u svakom slučaju","mindenképpen, mindenesetre, akárhogy, akárhogyan, különben is, valahogy, így is úgy is, valahogyan",,aliqua,kiekvienu atveju,,,"de qualquer jeito, de qualquer modo, de qualquer forma",,,,,,"zaten, her halükârda, hangi şartlar altında olursa olsun, ne ise, dikkatsizce, dalgacı bir şekilde.",
anywhere,æniwɛər,quelque part,,"कहीं~भी, You can find this food anywhere.",,どこでも,"missä tahansa, missään","навсякъде, където и да е",hvor som helst,,,kdekoli,unman,,,"bilo gdje, gdje bilo, gđe bilo, igdje, kojekuda, ma gđe, negdje, nekud, nekuda, svuda, svugdje","sehol, bárhová, akárhol, sehová, valahol, bárhol, valahová",in qualche luogo,,"kur nors (klausiamuosiuose ir neigiamuosiuose sakiniuose), bet kur",,,"algures, qualquer lugar",,,"негде, негђе","någonstans, någonstädes",,"herhangi bir yere veya yerde, her yere, hiç bir yere.",êrens
apart,əpɑːt,"particulier, particulièrement","aparte, particular, separado, porseparado","पृथक, The two buildings stood about 50m apart.",,"ばらばら, 別々","syrjässä, syrjään, erikseen, erilleen, erillään, erilleen, erillään","настрана, поотделно, настрана, отделно",,,,odloučený,,,,"izdvojeno, na stranu, nezavisno, odvojen, odvojeno, osim, po strani, pojedince, razdvojeno, zasebno","ketté, félre, távol egymástól, külön, távolságra egymástól, szét",separato,,"išskyrus, neskaitant, atskirai, skyrium, nuošaliai, be to",,,"avulso, especial, isolado, particular, peculiar, reservado, a parte, em separado",,,,särskild,,"ayrı, bir tarafa, bir yana, bir  tarafta, münferit olarak, birbirinden ayrı, bağımsız olarak, müstakil bir şekilde, parça  parça, farklı. drift apart sürüklenmek, uzaklaşmak, tedricen ayrı düşmek., set apart ayırmak, bir tarafa koymak, tahsis etmek. take apart sökmek, parçalara ayırmak. tell apart birbirinden ayırmak. tefrik etmek.",behalwe
apart from,əpɑːtfrɔm,"en outre, hormis, sauf",,"अतिरिक्त, Apart from his acting there was nothing worth seeing in that film.",,以外,lukuun ottamatta,,,,,nehledě na,,,ach,"nego, osim, pored",,,absque,"išskyrus, neskaitant, nekalbant apie...",,,"excepcionalmente, além de, com exclusão de, exceto de, fora",,,,,,,
apartment,əpɑːtmənt,appartement,"apartamento, cuarto, piso","घर{बड़ी~इमारत~में}, We live in a three room apartment.",,"アパート, マンション, 共同住宅, 長屋, 集合住宅","huoneisto, asunto, huoneisto",апартаме́нт,,,,pokoj,,,,"apartman, niz soba, soba, stan","lakás, szoba",appartamento,,"kambarys, (amer. pl.) butas",,,"apartamento, aposentos",,квартира,,lägenhet,,apartman dairesi. apartment house apartman.,"appartement, woonstel"
apologize,əpɔlədʒaiz,,disculparse,"क्षमा~माँगना, The students apologized before the Principal for teasing a newcomer.",,"謝る, 詫びる","pahoitella, puolustella, pahoitella, pyytää anteeksi",извиня́вам се,beklage,,,omlouvat se,,,,"isprika, ispričati se, ispričavati, izvinjavati, opravdati se, pravdati se, žaliti",,scusarsi,,"atsiprašyti, pasiteisinti",,,desculpar,,,,"ursäktesig, undskyllasig",,"özür dilemek, tarziye  vermek, itizar etmek, mazeret beyan  etmek, yazılı veya sözlü olarak savunmak.",
apparent,əpærənt,,demostrable,"स्पष्ट, He is angry for no apparent reason.",,"明白, 明瞭, 明確, 瞭然, 見える","ilmeinen, selvä, näennäinen, näkyvä, silminnähtävä","очевиден, явен, привиден, видим, забележим",,tilsyneladende,,zdánlivý,ymddangosiadol,,,"jasan, očevidan, očigledan, očit, prividan, prividni","kétségtelen, látszólagos, látható, világos, nyilvánvaló",,,"matomas, aiškus, tikrasis, akivaizdus, tariamas, menamas",,,aparente,,,,,,"kolay anlaşılır, idrak  edilir, açık, vazıh, gözle görülebilir, meydanda  olan, ortada olan, zahiri, görünüşte  olan. heir apparent taht, unvan vb'nin vârisi. apparent time mahalli saat. apparently  görünüşte, galiba, güya. apparentness   açıklık, vazıh oluş, meydanda oluş.",
apparently,əpærentliː,"évidemment, apparemment",evidentemente,"ऊपरी~तौर~से, आभास~से, Apparently they have left the city for some other place.",,"明らか, 一見, 思しい, 明白に, そう, らしい, (どうやら)…らしい","ilmeisesti, ilmeisesti, näköjään, näennäisesti, näennäisen",,tilsynelatende,,,zřejmě,,,,"izgleda, naoko, očevidno, prividno","kétségtelenül, nyilvánvalóan",evidentemente,,"aiškiai, akivaizdžiai, matyt",,,"evidentemente, aparentemente",,,,,,,
appeal,əpiːl,"faire appel, recours","apelación, llamada, oración, ruego","अपील, याचना, He filed an appeal to release his imprisoned friend., We should answer the appeal for flood donations.",,訴える,"valitus, vetoomus, muutoksenhaku, valittaminen, valitusoikeus, vetovoima, viehätysvoima, siviilikanne, turvautuminen voimakeinoihin",,,,,apelovat na,apêl,,,"apelacija, molba, obraćanje, optužiti, pozivamo, privlačnost, priziv, proglas, protestirati, sklonost, uložiti žalbu, umoljavati, žalba, žaliti se","vonzerô, csáb, fellebbezés, esdeklés, fellebbvitel, varázs, könyörgés, kérés, fordulás, folyamodás, felhívás","domanda, preghiera",,"apeliuoti, šauktis, kreiptis, patraukti, apeliacija, kreipimasis, patrauklumas",,,"apelação, apelo, enfileiramento periódico de soldatos para controle, agravar, apelar, recorrer",,апеллировать,,"anropa, åkalla",,"rica etmek, istirham etmek, yalvarmak, yardım talebinde bulunmak, (huk.)  davayı daha yüksek bir mahkemeye devretmek, müracaat etmek, istida etmek, hoşuna  gitmek, hitap etmek, baş vurmak. appeal  from the chair meclis başkanının kararına  karşı gelerek meclise baş vurmak. appeal to the country (ing) halkın oyuna baş vurmak. ıt appeals to the eye.Göze güzel görünür. Göze hitap eder. Göz doldurur.","appelleer, appèl, beroep, bede"
appear,əpiər,"paraître, apparaître, surgir, avoir l'air de, sembler",parecer,"दिखाई~पड़ना, दिख~पड़ना, Gielgud appears briefly in this movie, प्रकट~होना, He suddenly appeared at the wedding., प्रकाशित~होना, Did your latest book appear yet?, उपस्थित~होना, He had to appear in court last month., जान~पड़ना, It appears that he is not going to come.",,"現れる, そう, ように見える, らしい, 思われる","ilmestyä, näyttää, ilmestyä, ilmestyä, tulla näkyviin, näyttää, vaikuttaa, ilmestyä, näyttäytyä","явя́ се, явя́вам се, покажа, показвам, появя́ се, появя́вам се",,,,vyjít najevo,ymddangos,,"láithrigh, nocht, taibhsigh, taispeáin","doći na vidjelo, granuti, istupiti, izaći, izaći u štampi, izgledati, nastupati, nastupiti, niknuti, pojave, pojaviti, pojaviti se, pojavljivati, pojavljuju, pokazati se, pomoliti se, ukazati se, činiti se",,"apparire, parere","apparere, comparere","rodytis, atrodyti, pasirodyti",,,"aparecer, publicar-se, sair à luz, vir a lume, representar, ter aparência de, ter aspecto de, mostrar-se, parecer",,,,"synas, tyckas",,"gözükmek, görünmek, belirmek, meydana çıkmak, zuhur etmek, aşikâr olmak, belli olmak, bizzat veya vekil  vasıtasıyla mahkeme huzuruna çıkmak, ispatı vücut etmek.","verskyn, lyk, skyn"
appearance,əpiərəns,"air, allure, apparence, aspect, spectacle","aspecto, vista, apariencia","प्रकटीकरण{दर्शन, दीदार}, The hero made his appearance on the stage alone., Her appearance as a commercial model in the T.V. telecast attracted the viewers., This counterfeit coin looks genuine in appearance.",,"外観, 様子, 見掛け, 体裁, 外見, 外観, 見た目, 世間体, 出現, 出廷","ilmentymä, ilmiö, ulkonäkö, julkiasu, tuntomerkit, ulkomuoto, ulkonäkö, ulkomuoto, esiintyminen, ilmaantuminen, ilmestyminen, ilmestyminen, näyttäytyminen, saapuminen","явление, външен вид, външност, прилика, появяване, явяване",,,,vzezření,gwedd,,,"istupanje, izgled, izgleda, izgledu, pojava, pojave, pojavljivanje, pojavljivanje pred sudom, pristup, priviđenje, utvara, vanjština","perbe bocsátkozás, szellem, látomás, külsôségek, megjelenés, jelenés, külsô, kísértet, fellépés, látszat","apparenza, aria, aspetto","aspectamen, facies","pasirodymas, išvaizda, išorė",,,"aparicão, visão, aparência, aspecto, semblante, exterioridade",aspect,,,"anblick, anseende, vy",,"görünüş, gösteriş, dış görünüş, zevahir, meydana çıkma, zuhur  etme, hadise, olay, (huk.) davalı veya davacının  mahkeme huzuruna çıkması. for  the sake of appearances ele güne karşı, gösteriş olsun diye, zevahiri kurtarmak  için. keep up appearances zevahiri kurtarmak, durumu idare etmek. nonappearance  ispatı vücut etmeyeş, hazır bulunmayış.","aanblik, aansien, aansig, air, aspek"
apple,æpl,pomme,"mermeladademanzanas, salsademalzanas, salsademanzanas","सेब, An apple a day keeps the doctor away .",,,,,,æble,,jablko,,,úll,jabuka,alma,mela,pomum,obuolys,,,maçã,,яблоко,јабука,äppelkaka,,"elma. apple blossom elma baharı. apple butter elma marmelâdı. apple green elma yaprağı renginde. applejack  elma rakısı. apple juice elma suyu. apple of discord (mit) kavga tanrıçası tarafından tanrılara atılan ve Paris tarafından Venüs e hediye edilen elma. apple of the eve gözbebeği, çok değer verilen bir şey. in apple-pie order çok düzenli. apple polisher (A.B.D.), (argo) dalkavak, (slang) yağcı. applesauce  elma püresi, k dili saçma, boş laf. Adam' apple (anat.) Ademelması, gırtlak çıkıntısı. bitter apple hanzal, ithiyarı, (bot.) Citrullus colocynthis. upset the apple cart pişmiş aşa soğuk su katmak, bir işi bozmak.",appel
application,/ˌæpləˈkeɪʃən/,,,"प्रार्थना~पत्र, Application forms are available with the booking clerk from 11.00 to 16.00 hr., Avoid frequent application of the brakes ., प्रयोग, The application of 'BURNOL' on burns is in common use nowadays ., Street application of traffic rules avoid so many accidents .",,"アプリケーション, アプリ, 出願, 応募, 申し込み","sovellus, hakemus, anomus, käyttö, soveltaminen, käyttö, levittää, sivellä, soveltaminen, sovellus, menetelmä","заявле́ние, молба́, приложе́ние, употреба, приложимост",søknad,,,žádost,cais,,,"aplikacija, aplikaciji, aplikacijom, izjava, izvođenje, molba, namjenski program, natječaj, predstavka, prilog, primjena, primjeni, program, provedba, upotreba, zahtjev","felhasználhatóság, használat, igyekezet, felhasználási terület, szellemi erôfeszítés, figyelem, kérelem, folyamodvány, alkalmazási terület, alkalmazhatóság, alkalmazás, szorgalom, kérés, bevonás, pályázat, ráhelyezés, ráillesztés, elmélyedés, felhasználás, kérvény, kérelmezés, iparkodás",,,"vartojimas, (pri)taikymas, vaistų vartojimas, prašymas, pareiškimas, uolumas, (komp.) programa",,,aplicação,aplicație,,,,,"uygulama, tatbik, ilâç, merhem, itina, özen, dikkat, istida, dilekçe, müracaat, başvurma, talep.",
apply,əplai,"appliquer, pratiquer",emplear,"लागू करना, Traffic rules must be applied strictly ., लगाना, Apply 'BARNOL' on the burns ., प्रयोग में लाना, Apply the breaks wherever necessary ., Unsocial elements apply political pressure and go unpunished ., आवेदन~पत्र~देना, Apply to the chairman for the post of cashier .",,"用いる, 申し込む","koskea, soveltua, kääntyä jonkun puoleen, uskoutua, altistaa, herkistää, käyttää, panna, asettaa, laittaa, levittää, soveltaa, käyttää, käyttää, soveltaa, hakea","прилагам, употребявам, кандидатствам",søke,,,úcházet se,cymhwyso,,,"moliti, natjecati se, obratiti se, odnosi, odnositi se, prijaviti se, priložiti, primijeniti, primjeniti, primjeniti (na), primjenjivati, primjenjivati se, primjenjuju, ticati se, tražiti, upotrebljavati, upotrebljavati se, upotrijebiti, važiti, vrijediti",,applicare,,"(pa)vartoti, panaudoti, pritaikyti, kreiptis, prašyti, liesti",,,"aplicar, por em prática","a aplica, aplicare",,,,,"yaklaştırmak, uygulamak, tatbik etmek, atfetmek, vermek, tahsis etmek, hasretmek, (-e) ayırmak, mahsus olmak, ait  olmak, taalluk etmek, müracaat etmek, başvurmak apply a match kibritle tutuşturmak. apply oneself to something kendini bir  şeye vermek.",toepas
appoint,əpɔint,,nombrar,"नियुक्त~करना, Mohan was appointed as a food officer., नियत करना, 20th January was appointed for the meeting.",,任命する,"asettaa, määrätä, varustaa, varustella, nimittää","назначавам, предназначавам, определям, предписвам, установявам, оборудвам",oppnevne,,,pojmenovat,apwyntio,,,"imenovati, imenovati opunomoćenika, naimenovati, nominirati, odrediti, opremiti, opskrbiti, postaviti, propisati, ustanoviti",,nominare,,"(pa)skirti (kuo), nustatyti (vietą, laiką), paskirti, nurodyti (darbą), (ret.) pasirūpinti, įsakyti (kad būtų padaryta)",,,,,,,,,"atamak, tayin etmek, tahsis etmek, memur etmek, tesis etmek, vaz'etmek, koymak, kararlaştırmak, tayin etmek (zaman v.b.), donatmak, teçhiz etmek.","aanstel, benoem"
appointment,əpɔintmənt,"rencontre, rendez‐vous",nombramiento,"नियुक्ति, Hari's appointment in the bank was welcomed by his family., नियोजित भेंट, In western countries people fix appointments for their forthcoming meetings or visits., Patients have to seek appointments with the doctors for special medical cunsultancy.",,"任命, 約束, アポ, アポイント, 予約, 待ち合わせ","nimittäminen, nimitys, aika, ajanvaraus, tapaaminen, ilmoitus, ohje, kalusteet, varusteet, kunniatehtävä, nimitys, sopimus, sovittu tapaaminen","назначе́ние, среща, уговорка",,,,jmenování,apwyntiad,,,"imenovanje, naimenovanje, nalog, obveza, odredba, postavljenje, sastanak, zakazan sastanak, zakazani sastanak, zakazati sastanak","megbeszélés, randevú, megbeszélt találkozó, megbeszélt idôpont, kinevezés, állás, találkozó","nomina, appuntamento",,"paskyrimas (į postą, tarnybą), tarnyba, postas, pasimatymas, susitarimas susitikti, (pl.) įrengimai, apstatymas, baldai",,,rendez-vous,,,,,,"atama, tayin, memuriyet, hizmet, görev, iş, randevu, emir, (çoğ.). donatım, teçhizat (gemi, otel v.b.)",aanstelling
appreciate,əpriːʃieit,"apprécier, aimer, estimer",gustar,"सराहा~जाना, Only good manners are appreciated.",,"理解, 感謝する, 値上がりする, 鑑賞する","erottaa, havaita, ymmärtää, arvostaa, antaa arvoa, kallistua, nousta arvossa, arvostaa, pitää arvossa","отчитам, разбирам, различавам, усещам, благодарен съм, оценявам, ценя високо","forstå, stige i verdi, verdsette",,,ohodnotit,gwerthfawrogi,,,"biti zahvalan, cijeniti, ocjenjivati, poštovati, priznati, razlikovanje, shvatiti, usvajanje, zahvalan",,apprezzare,,"vertinti, suprasti, pripažinti, kilti, kelti (apie vertę, kainą)",,,"apreciar, dar merecimento a, estimar, gostar de, prezar",,,,"värdesätta, tyckaom, uppskatta",,"paha biçmek, kıymet takdir etmek, değerlemek, kadrini bilmek, kıymet bilmek, fiyatı yükseltmek, değerlendirmek, ayırt etmek, tefrik etmek, fiyatı yükselmek, kıymeti artmak, değerlenmek.","waardeer, hou van, lief wees vir"
approach,əproutʃ,"aborder, s'avancer, abord, approche",,"पास~आना, Can anyone approach an auncanged lion?, No singer could approach Mohan mad Rafi's high range quality., पहुँचना, We should seriously consider how to approach the problem before we make any definite plans.",,"アプローチ, 接近, 通路, アプローチ","lähestyminen, kulku, käynti, reitti, lähestymistapa","приближа́ване, вход, подхо́д, подхо́д, до́стъп, подхо́д, захо́д","tilstundelse, innkjøring, tilnærmelsesmåte",,,příchod,dynesu,,,"koncept, približavanje, približiti se, prilaz, prilazak, prilazni, prilazno, pristup, pristupa, pristupiti, pristupom, pristupu, prići, zalet, zbliženje, činiti prijedlog","szemléletmód, bekötôút, megközelítés, felfogás, szemlélet, feljáró, hozzáállás, odavezetô út, közeledés, közelítés, beállítás",accesso,adire,"artintis, prisiartinti, kreiptis, prisiartinimas, metodas, požiūris, mėginimai",,,"enfoque, abordagem, aproximação, aproximar-se, dirigir-se",,,,annalkande,,"yaklaştırmak, yakına getirmek, yaklaşmak, yanaşmak, yakına gelmek, baş vurmak, müracaat etmek, başlamak, işe koyulmak, yaklaşma, yanaşma, methal, başlangıç, (spor) golf topunu yeşil meydana sokan vuruş. approachable  müracaat edilebilir, yanına varılabilir, yaklaşılabilir, cana yakın.","benader, nader, naderkom"
appropriate,əprouprieit,"convenable, raisonnable",conveniente,"उचित, The alliance will be declared at an appropriate time.",,"充当, 私","osoitettu, varattu, sopiva, asianmukainen, sovelias, täsmällinen, sopiva, sovelias","подходя́щ, съотве́тен, уме́стен","annektere, tilpasse",,,přivlastnit,addas,,,"nadležan, nadležna, odgovarajuće, odgovarajući, odgovarajućih, odgovarajućim, odgovarajućom, odgovorni, odgovornih, odrediti, opredijeliti, pogodan, predvidjeti, prigodan, prigodnih, prikladan, prikladno, primjeren, primjereno, prisvojiti, svojstven","megfelelô, illô, helyénvaló, alkalmas, helyes",conveniente,,"įprastas, būdingas, tinkamas, paskirti, asignuoti, pasisavinti",,,"adequado, apropriado, conveniente",,,,,,"almak, kendine mal etmek, tahsis etmek, ayırmak.",geskikt
