id,en,zh,py,vi,vi2
342,He has completed the task.,他完成了这个任务。,Tā wánchéngle zhège rènwù.,Anh ấy đã hoàn thành nhiệm vụ này.,hắn hoàn thành nhiệm vụ này .
343,He has quite a few friends.,他有不少的朋友。,Tā yǒu bù shǎo de péngyǒu.,Anh ấy có rất nhiều bạn.,hắn có không ít bằng hữu .
344,He is capable of any crime.,他什么样的坏事都能干得出来。,Tā shénme yàng dehuàishì dōu nénggàn dé chūlái.,Anh ta có thể làm bất cứ điều gì xấu.,hắn dạng gì chuyện xấu cũng có thể làm đạt được đến .
345,He walks with a quick pace.,他快步走路。,Tā kuài bù zǒulù.,Anh bước nhanh.,hắn bước nhanh đi đường .
346,He was not a little tired.,他很累。,Tā hěn lèi.,Anh ấy đang mệt.,hắn rất mệt mỏi .
347,His looks are always funny.,他的样子总是滑稽可笑。,Tā de yàngzi zǒng shì huájī kěxiào.,Anh ấy luôn trông hài hước.,bộ dáng của hắn luôn luôn buồn cười buồn cười .
348,How about going to a movie?,去看场电影怎么样?,Qù kàn chǎng diànyǐng zěnme yàng?,Làm thế nào về việc đi xem phim trường?,đi xem trường phim chiếu rạp thế nào ?
349,I think I've caught a cold.,我想我得了感冒。,Wǒ xiǎng wǒ déliǎo gǎnmào.,Tôi nghĩ rằng tôi bị cảm lạnh.,ta nghĩ ta được cảm mạo .
350,I was taking care of Sally.,我在照顾萨莉。,Wǒ zài zhàogù sà lì.,Tôi đang chăm sóc Sally.,ta đang chiếu cố tát lê .
351,I wish I lived in NEWYORK.,我希望住在纽约。,Wǒ xīwàng zhù zài niǔyuē.,Tôi hy vọng được sống ở New York.,ta hy vọng ở tại New York .
352,I'm very glad to hear that.,很高兴听你这样说。,Hěn gāoxìng tīng nǐ zhèyàng shuō.,Tôi rất vui khi được lắng nghe bạn.,vô cùng vui vẻ nghe ngươi nói như vậy .
353,I'm your lucky fellow then.,我就是你的幸运舞伴啦!,Wǒ jiùshì nǐ de xìngyùn wǔbàn la!,Tôi là người bạn đồng hành may mắn của bạn!,đúng là ta ngươi vận may bạn nhảy rồi !
354,It's none of your business!,这不关你的事儿!,Zhè bù guān nǐ de shì er!,Nó không có gì để làm!,cái này chuyện không liên quan tới ngươi mà !
355,No littering on the campus.,在校园内不准乱丢废物。,Zài xiàoyuán nèi bù zhǔn luàn diū fèiwù.,Nó không được phép mất chất thải trong khuôn viên trường.,ở bên trong sân trường không cho phép ném loạn rác rưởi .
356,She is a good-looking girl.,她是一个漂亮女孩。,Tā shì yīgè piàoliang nǚhái.,Cô là một cô gái xinh đẹp.,nàng là một cô gái xinh đẹp .
357,She mended the broken doll.,她修补了破了的洋娃娃。,Tā xiūbǔle pòle de yángwáwá.,Cô đã sửa chữa con búp bê bị hỏng.,nàng tu bổ phá búp bê .
358,So I just take what I want.,那么我只拿我所需要的东西。,Nàme wǒ zhǐ ná wǒ suǒ xūyào de dōngxī.,"Sau đó, tôi chỉ lấy những gì tôi cần.",như vậy ta chỉ bắt ta cần có gì đó .
359,Spring is a pretty season，,春天是一个好季节。,Chūntiān shì yīgè hǎo jìjié.,Mùa xuân là một mùa tốt.,mùa xuân là một hảo mùa .
360,The figure seems all right.,数目看起来是对的。,Shùmù kàn qǐlái shì duì de.,Số lượng trông đúng.,số lượng thoạt nhìn là đúng .
361,The stars are too far away.,星星太遥远了。,Xīngxīng tài yáoyuǎnle.,Các ngôi sao ở quá xa.,những vì sao quá xa vời .
362,The whole world knows that.,全世界都知道。,Quán shìjiè dōu zhīdào.,Cả thế giới biết.,toàn thế giới đều biết .
363,Tomorrow will be a holiday.,明天放假。,Míngtiān fàngjià.,Ngày lễ ngày mai.,ngày mai nghỉ .
364,We walk on the garden path.,我们走在花园小径上。,Wǒmen zǒu zài huāyuán xiǎo jìng shàng.,Chúng tôi đi trên con đường vườn.,chúng ta đi đang vườn hoa đường mòn lên .
365,What you need is just rest.,你需要的就是休息。,Nǐ xūyào de jiùshì xiūxí.,Những gì bạn cần là nghỉ ngơi.,ngươi cần đúng thế nghỉ ngơi .
366,What's your favorite steps?,你最喜欢跳什么舞?,Nǐ zuì xǐhuān tiào shénme wǔ?,Bạn thích điệu nhảy nào nhất?,ngươi thích nhất nhảy gì vũ ?
367,You'd better let her alone.,你们最好是让她一个人呆会儿。,Nǐmen zuì hǎo shì ràng tā yīgèrén dāi huì er.,Tốt hơn bạn nên để cô ấy ở lại một mình.,mấy người tốt nhất là khiến nàng một người ở lại một chút .
368,A lost chance never returns.,错过的机会永不再来。,Cuòguò de jīhuì yǒng bùzài lái.,Cơ hội để bỏ lỡ sẽ không bao giờ đến nữa.,bỏ qua cơ hội vĩnh viễn không lại đến .
369,Don't let this get you down.,不要为此灰心丧气。,Bùyào wèi cǐ huīxīn sàngqì.,Đừng nản lòng vì điều này.,đừng có vì thế nản lòng thoái chí .
370,He shot the lion with a gun.,他用枪把狮子打死了。,Tā yòng qiāng bǎ shīzi dǎ sǐle.,Anh ta giết sư tử bằng một khẩu súng.,hắn dùng thương đem sư tử đánh chết .
371,I don't think you are right.,我认为你是不对的。,Wǒ rènwéi nǐ shì bùduì de.,Tôi nghĩ rằng bạn là sai.,ta cho rằng ngươi là không đúng .
372,I have never seen the movie.,我从未看过那部电影。,Wǒ cóng wèi kànguò nà bù diànyǐng.,Tôi chưa bao giờ xem bộ phim đó.,ta chưa bao giờ nhìn qua vậy bộ phim .
373,I haven't seen you for ages.,我好久没见到你了。,Wǒ hǎojiǔ méi jiàn dào nǐle.,Tôi đã không gặp bạn trong một thời gian dài.,ta rất lâu không có nhìn thấy ngươi .
374,I was alone，but not lonely.,我独自一人，但并不觉得寂寞。,"Wǒ dúzì yīrén, dàn bìng bù juédé jìmò.","Tôi cô đơn, nhưng tôi không cảm thấy cô đơn.","ta một thân một mình , nhưng không hề cảm thấy tịch mịch ."
375,I went there three days ago.,我三天前去过那儿。,Wǒ sān tiān qián qùguò nà'er.,Tôi đã đến đó ba ngày trước.,ta ba ngày trước đi qua chỗ ấy .
376,It's a friendly competition.,这是一场友谊赛。,Zhè shì yīchǎng yǒuyìsài.,Đây là một trận đấu thân thiện.,đây là một hồi giải hữu nghị .
377,It's very thoughtful of you.,你想得真周到。,Nǐ xiǎng dé zhēn zhōudào.,Bạn muốn thực sự chu đáo.,ngươi nghĩ đến thật chu đáo .
378,May I speak to Lora，please?,我能和劳拉说话吗?,Wǒ néng hé láo lā shuōhuà ma?,Tôi có thể nói chuyện với Laura không?,ta có thể cùng cực khổ kéo nói chuyện không ?
379,Mr.Wang is fixing his bike.,王先生在修他的自行车。,Wáng xiānshēng zài xiū tā de zìxíngchē.,Ông Wang đang sửa chữa xe đạp của mình.,vương tiên sinh đang sửa hắn xe đạp .
380,My brother is see king a job.,我弟弟正在找工作。,Wǒ dìdì zhèngzài zhǎo gōngzuò.,Anh trai tôi đang tìm kiếm một công việc.,em ta đệ đang tìm việc làm .
381,Nancy will retire next year.,南希明年就退休了。,Nán xī míngnián jiù tuìxiūle.,Nanxi sẽ nghỉ hưu vào năm tới.,nam hi sang năm thì về hưu .
382,Neither you nor he is wrong.,你没错，他也没错。,"Nǐ méicuò, tā yě méicuò.","Bạn đúng, anh ấy đúng.","ngươi không sai , hắn cũng không sai ."
383,Opportunity knocks but once.,机不可失，时不再来。,"Jī bùkě shī, shí bùzài lái.",Bây giờ hoặc không bao giờ.,"tận dụng thời cơ , thời không đến lại ."
384,She dressed herself hastily.,她匆忙穿上衣服。,Tā cōngmáng chuān shàngyīfú.,Cô vội vàng mặc quần áo.,nàng thông bận bịu mặc vào trang phục .
385,She hired a car by the hour.,她租了一辆按钟点计费的汽车。,Tā zūle yī liàng àn zhōngdiǎn jì fèi de qìchē.,Cô thuê một chiếc xe hơi vào một giờ.,nàng thuê một cỗ theo chuông chút kế bí ô tô .
386,Someone is ringing the bell.,有人在按门铃。,Yǒurén zài àn ménlíng.,Ai đó đang cầm chuông cửa.,có người đang nhấn chuông cửa .
387,The Smiths are my neighbors.,史密斯一家是我的邻居。,Shǐmìsī yījiā shì wǒ de línjū.,Gia đình Smith là hàng xóm của tôi.,sử tiểu thư một nhà là của ta hàng xóm .
388,These shoes don't fit right.,这双鞋不太合适。,Zhè shuāng xié bù tài héshì.,Những đôi giày này không phù hợp.,đôi giày này không quá phù hợp .
389,This is only the first half.,这才是上半场呢。,Zhè cái shì shàng bànchǎng ne.,Đây là nửa đầu.,đây mới là hơn nửa hiệp đâu .
390,This pen doesn't write well.,这钢笔不好写。,Zhè gāngbǐ bù hǎo xiě.,Bút này không dễ viết.,cái này bút máy không tốt viết .
391,Would you like a cup of tea?,你想喝杯茶吗?,Nǐ xiǎng hē bēi chá ma?,Bạn có muốn uống một tách trà?,ngươi muốn uống chén trà không ?
392,You really look sharp today.,你今天真漂亮。,Nǐ jīntiān zhēn piàoliang.,Hôm nay bạn thật đẹp.,ngươi hôm nay thật xinh đẹp .
393,Another cat came to my house.,又有一只猫来到我家了。,Yòu yǒuyī zhī māo lái dào wǒjiāle.,Một con mèo khác đã đến nhà của tôi.,lại có một con mèo đi vào nhà ta .
394,Check your answers with mine.,把你的答案跟我的核对一下。,Bǎ nǐ de dá'àn gēn wǒ de héduì yīxià.,Hãy thử câu trả lời của bạn với tôi.,đem ngươi đáp án cùng ta thẩm tra đối chiếu một chút .
395,Don't keep the truth from me.,别瞒着我事实真相。,Bié mánzhe wǒ shìshí zhēnxiàng.,Đừng che giấu sự thật của tôi.,đừng giấu giếm chuyện ta thực chân tướng .
396,Everything has its beginning.,凡事都有开端。,Fánshì dōu yǒu kāiduān.,Mọi thứ đều có sự khởi đầu.,mọi thứ đều có bắt đầu .
397,He came to the point at once.,他一下子就说到了点子上。,Tā yīxià zi jiù shuō dàole diǎnzi shàng.,Anh đột nhiên nói về ý tưởng này.,hắn lập tức liền nói đến điểm mấu chốt lên .
398,He fell behind with his work.,他工作落后了。,Tā gōngzuò luòhòule.,Anh ấy đứng sau công việc của mình.,hắn công việc rơi ở phía sau .
399,He is the happiest man alive.,他是世界上最快乐的人。,Tā shì shìjiè shàng zuì kuàilè de rén.,Anh ấy là người hạnh phúc nhất thế giới.,hắn là trên thế giới nhanh nhất vui người .
400,He neither smokes nor drinks.,他既不抽烟也不喝酒。,Tā jì bù chōuyān yě bù hējiǔ.,Anh ta không hút thuốc cũng không uống.,hắn cũng không hút thuốc cũng không uống rượu .
401,He ran his horse up the hill.,他策马跑上小山。,Tā cè mǎ pǎo shàng xiǎoshān.,Anh chạy đến đồi.,hắn giục ngựa chạy lên Tiểu Sơn .
402,He reminds me of his brother.,他使我想起了他的弟弟。,Tā shǐwǒ xiǎngqǐle tā de dìdì.,Anh ấy làm tôi nhớ đến anh trai mình.,hắn khiến cho ta nhớ tới em trai của hắn .
403,He w as efficient in his work.,他工作效率高。,Tā gōngzuò xiàolǜ gāo.,Anh ấy có hiệu quả làm việc cao.,hắn công việc hiệu suất cao .
404,He will do anything but work.,只要不是干活，他干什么都行。,"Zhǐyào bùshì gān huó, tā gànshénme dōu xíng.","Miễn là anh ta không làm việc, anh ta có thể làm bất cứ điều gì.","chỉ cần không phải làm việc , hắn làm gì đều được ."
405,His father runs a restaurant.,他的父亲经营一家餐馆。,Tā de fùqīn jīngyíng yījiā cānguǎn.,Cha anh điều hành một nhà hàng.,hắn bố kinh doanh một cái quán ăn .
406,I have something to tell you.,我有事要告诉你。,Wǒ yǒushì yào gàosù nǐ.,Tôi có chuyện muốn nói với bạn.,ta có việc phải nói cho ngươi .
407,I smelled a smell of cooking.,我闻到了烧菜做饭的味道。,Wǒwén dàole shāo cài zuò fàn de wèidào.,Tôi ngửi thấy mùi hương của rau.,ta ngửi thấy xào rau nấu cơm hương vị .
408,I want to see the film again.,我真想再看一遍。,Wǒ zhēn xiǎng zài kàn yībiàn.,Tôi thực sự muốn xem nó một lần nữa.,ta thật nghĩ lại nhìn một lần .
409,I've got too much work to do.,我要做的工作太多了。,Wǒ yào zuò de gōngzuò tài duōle.,Tôi phải làm quá nhiều việc.,ta muốn làm công việc quá nhiều rồi .
410,Let's go for a walk，shall we?,咱们出去走走，好吗?,"Zánmen chūqù zǒu zǒu, hǎo ma?","Hãy đi ra ngoài và đi bộ, được chứ?","chúng ta ra ngoài đi một chút , có được không ?"
411,Please let me check the bill.,请让我核对一下帐单。,Qǐng ràng wǒ héduì yīxià zhàng dān.,Hãy để tôi kiểm tra hóa đơn của tôi.,mời để cho ta thẩm tra đối chiếu một chút hóa đơn .
412,Plenty of sleep is healthful.,充足的睡眠有益于健康。,Chōngzú de shuìmián yǒuyì yú jiànkāng.,Ngủ thành công là tốt cho sức khỏe.,sung túc giấc ngủ hữu ích tại khỏe mạnh .
413,The sun comes up in the east.,太阳从东方升起。,Tàiyáng cóng dōngfāng shēng qǐ.,Mặt trời mọc từ hướng đông.,mặt trời từ phương đông mọc lên .
414,This is because we feel pain.,这是因为我们能感到疼痛。,Zhè shì yīnwèi wǒmen néng gǎndào téngtòng.,Điều này là do chúng ta có thể cảm thấy đau.,đây là vì chúng ta có thể cảm thấy đau đớn .
415,What do you desire me to do?,你想要我做什么?,Nǐ xiǎng yào wǒ zuò shénme?,Bạn muốn tôi làm gì?,ngươi muốn ta làm cái gì ?
416,What you said was quite true.,你所说的完全符合事实。,Nǐ suǒ shuō de wánquán fúhé shìshí.,Những gì bạn nói là hoàn toàn phù hợp với sự thật.,như lời ngươi nói đầy đủ phù hợp sự thực .
417,You can either stay or leave.,你或者留下或者离开。,Nǐ huòzhě liú xià huòzhě líkāi.,Bạn có thể rời đi hoặc rời đi.,ngươi có lẽ lưu lại có lẽ rời khỏi .
418,Your life is your own affair.,你的生活是你自己的事。,Nǐ de shēnghuó shì nǐ zìjǐ de shì.,Cuộc sống của bạn là công việc kinh doanh của riêng bạn.,cuộc sống của ngươi là ngươi mình sự tình .
419,All that glitters is not gold.,发闪光的不全是黄金。,Fā shǎnguāng de bùquán shì huángjīn.,Nhấp nháy không phải là tất cả vàng.,phát lấp lóe không hoàn toàn là hoàng kim .
420,Are you going to have a party?,你要举行聚会吗?,Nǐ yào jǔxíng jùhuì ma?,Bạn có muốn tổ chức một bữa tiệc?,ngươi muốn tiến hành tụ hội không ?
421,Aren't you concerned about it?,难道你不担心吗?,Nándào nǐ bù dānxīn ma?,Bạn không lo lắng về nó?,lẽ nào ngươi không lo lắng không ?
422,Don't forget to keep in touch.,别忘了保持联系。,Bié wàngle bǎochí liánxì.,Đừng quên giữ liên lạc.,đừng quên giữ liên lạc .
423,He broke his words once again.,他又一次违背了诺言。,Tā yòu yīcì wéibèile nuòyán.,Anh ta đã vi phạm lời hứa của mình một lần nữa.,hắn lại một lần vi phạm với lời hứa .
424,He is in his everyday clothes.,他穿着平常的衣服。,Tā chuānzhuó píngcháng de yīfú.,Anh ta mặc quần áo bình thường.,hắn mặc bình thường trang phục .
425,He is taller than I by ahead.,他比我高一头。,Tā bǐ wǒ gāo yītóu.,Anh ấy cao hơn tôi.,hắn cao hơn ta một đầu .
426,He led them down the mountain.,他带他们下山。,Tā dài tāmen xiàshān.,Anh ta đưa họ xuống núi.,hắn dẫn bọn hắn xuống núi .
427,He was trained to be a lawyer.,他被培养成一名律师。,Tā bèi péiyǎng chéngyī míng lǜshī.,Ông được đào tạo như một luật sư.,hắn bị bồi dưỡng thành một luật sư .
428,I am afraid that l have to go.,我要走了。,Wǒ yào zǒuliǎo.,Tôi phải đi.,ta phải đi .
429,I don't have any cash with me.,我身上没带现金。,Wǒ shēnshang mò dài xiànjīn.,Tôi đã không mang theo tiền mặt cho tôi.,ta trên người không mang tiền mặt .
430,I have been putting on weight.,我开始发胖了。,Wǒ kāishǐ fāpàngle.,Tôi bắt đầu béo lên.,ta bắt đầu béo phì .
431,I have just finished the book.,我刚刚读完这本书。,Wǒ gānggāng dú wán zhè běnshū.,Tôi chỉ đọc cuốn sách này.,ta vừa mới đọc xong quyển sách này .
432,I was late for work yesterday.,我昨天上班迟到了。,Wǒ zuótiānshàngbān chídàole.,Tôi đã đi làm muộn ngày hôm qua.,ta hôm qua đi làm trễ .
433,It appears to be a true story.,这故事似乎是真的。,Zhè gùshì sìhū shì zhēn de.,Câu chuyện này có vẻ đúng.,cái này chuyện xưa tựa hồ là thật .
434,I've got to start working out.,我必须开始做健身运动了。,Wǒ bìxū kāishǐ zuò jiànshēn yùndòngle.,Tôi phải bắt đầu tập thể dục.,ta nhất định phải bắt đầu làm tập thể hình vận động .
435,Japan is to the east of China.,日本在中国的东部。,Rìběn zài zhōngguó de dōngbù.,Nhật Bản ở phía đông của Trung Quốc.,Nhật Bản ở trung quốc đông bộ .
436,John asked Grace to marry him.,约翰向格雷斯求婚 。,Yuēhàn xiàng géléi sī qiúhūn.,John đề nghị ân sủng.,John hướng Grey tư cầu hôn .
437,My watch is faster than yours.,我的表比你的表快。,Wǒ de biǎo bǐ nǐ de biǎo kuài.,Đồng hồ của tôi nhanh hơn đồng hồ của bạn.,ta biểu so với ngươi biểu nhanh đến .
438,New China was founded in l949.,1949年新中国成立。,1949 Nián xīn zhōngguó chénglì.,Trung Quốc mới được thành lập vào năm 1949.,1949 năm mới Trung Quốc thành lập .
439,Thanks for your flattering me.,多谢你的夸奖。,Duōxiè nǐ de kuājiǎng.,Cảm ơn bạn vì lời khen.,đa tạ ngươi khích lệ .
440,They charged the fault on him.,他们把过失归咎于他。,Tāmen bǎ guòshī guījiù yú tā.,Họ đổ lỗi cho anh ta.,bọn họ đem quá mất quy tội hắn .
441,This car is in good condition.,这车性能很好。,Zhè chē xìngnéng hěn hǎo.,Chiếc xe này rất tốt.,xe này hiệu suất rất tốt .
442,This work itself is very easy.,这件工作本身很容易。,Zhè jiàn gōngzuò běnshēn hěn róngyì.,Công việc này là dễ dàng.,cái này công việc thân mình vô cùng dễ .
443,Truth is the daughter of time.,时间见真理。,Shíjiān jiàn zhēnlǐ.,Xem sự thật trong thời gian.,thời gian thấy chân lý .
444,We look forward to your visit.,期待您的光临。,Qídài nín de guānglín.,Nhìn về phía trước chuyến thăm của bạn.,chờ mong ngài quang lâm .
445,What do you think of this one?,您觉得这个怎么样子?,Nín juédé zhège zěnme yàngzi?,Bạn nghĩ gì về điều này?,ngài cảm thấy cái này bộ dáng thế nào ?
446,What's the weather like to day?,今天天气怎么样?,Jīntiān tiānqì zěnme yàng?,Thời tiết hôm nay thế nào?,hôm nay thời tiết thế nào ?
447,A red tie will match that suit.,红领带会配那件衣服。,Hóng lǐngdài huì pèi nà jiàn yīfú.,Chiếc cà vạt màu đỏ sẽ được trang bị chiếc váy đó.,hồng lĩnh mang lại phối vật trang phục .
448,A wet road is usually slippery.,潮湿的路往往是滑的。,Cháoshī de lù wǎngwǎng shì huá de.,Con đường ẩm ướt thường trơn trượt.,ẩm ướt đường thường thường là trượt .
449,Example is better than precept.,身教胜于言传。,Shēnjiào shèng yú yánchuán.,Giáo dục tốt hơn lời nói.,giáo dục con người bằng hành động gương mẫu thắng ngôn truyền .
450,Go right back to the beginning.,直接回到起始位置。,Zhíjiē huí dào qǐ shǐ wèizhì.,Trở lại trực tiếp đến vị trí bắt đầu.,trực tiếp về đến mở đầu vị trí .
451,He does everything without aim.,他做事都漫无目标。,Tā zuòshì dōu màn wú mùbiāo.,Anh ấy không có mục tiêu.,hắn làm việc đều chẳng có mục tiêu .
452,He is respectful to his elders.,他对长辈很恭敬。,Tā duì zhǎngbèi hěn gōngjìng.,Anh ấy rất tôn trọng những người lớn tuổi của mình.,hắn đối với trưởng bối vô cùng cung kính .
453,He knows English better than I.,他比我懂英语。,Tā bǐ wǒ dǒng yīngyǔ.,Anh ấy hiểu tiếng Anh hơn tôi.,hắn so với ta hiểu tiếng Anh .
454,He resolved to give up smoking.,他决心戒烟。,Tā juéxīn jièyān.,Anh quyết tâm bỏ thuốc lá.,hắn quyết tâm cai thuốc .
455,His talk covered many subjects.,他的报告涉及很多课题。,Tā de bàogào shèjí hěnduō kètí.,Báo cáo của ông liên quan đến nhiều chủ đề.,hắn báo cáo liên quan đến rất nhiều đầu đề .
456,I fear that he drinks too much.,我担心他喝的酒太多了。,Wǒ dānxīn tā hē de jiǔ tài duōle.,Tôi lo lắng rằng anh ấy uống quá nhiều.,ta lo lắng hắn uống rượu quá nhiều rồi .
457,I have my hair cut every month.,我每个月都理发。,Wǒ měi gè yuè dōu lǐfà.,Tôi có một kiểu tóc mỗi tháng.,ta mỗi tháng đều cắt tóc .
458,I want to have a part-time job.,我想有一份兼职工作。,Wǒ xiǎng yǒuyī fèn jiānzhí gōngzuò.,Tôi muốn có một công việc một phần.,ta nghĩ có một phần kiêm chức công việc .
459,I'm sorry to have bothered you.,对不起，打扰你了。,"Duìbùqǐ, dǎrǎo nǐle.","Xin lỗi, làm phiền bạn.","thật xin lỗi , quấy rầy ngươi ."
460,It is not so easy as you think.,这事没有你想象的那么简单。,Zhè shì méiyǒu nǐ xiǎngxiàng dì nàme jiǎndān.,Điều này không đơn giản như bạn nghĩ.,việc này không có ngươi tưởng tượng đơn giản như vậy .
461,Keep your temper under control.,不要发脾气。,Bùyào fā píqì.,Đừng mất bình tĩnh.,đừng có phát cáu .
462,Lying and stealing are immoral.,说谎和偷窃都是不道德的。,Shuōhuǎng hé tōuqiè dōu shì bù dàodé de.,Nói dối và trộm cắp là vô đạo đức.,nói dối và ăn cắp đều là không đạo đức .
463,My efforts resulted in nothing.,我的努力毫无结果。,Wǒ de nǔlì háo wú jiéguǒ.,Những nỗ lực của tôi không có kết quả.,ta nỗ lực không có kết quả gì .
464,My false teeth are stuck to it.,我的假牙还在上边呢!,Wǒ de jiǎyá hái zài shàngbian ne!,Răng giả của tôi vẫn còn trên đó!,ta răng giả còn đang ở bên trên đâu !
465,She is a composer for the harp.,她是位写竖琴曲的作曲家。,Tā shì wèi xiě shùqín qǔ de zuòqǔ jiā.,Cô là một nhà soạn nhạc viết bài hát đàn hạc.,nàng là vị viết thụ cầm khúc nhạc sĩ .
466,Take me to the airport，please.,请送我去机场。,Qǐng sòng wǒ qù jīchǎng.,Vui lòng gửi tôi đến sân bay.,xin đưa ta đi sân bay .
467,Talking with you is a pleasure.,和你谈话很愉快。,Hé nǐ tánhuà hěn yúkuài.,Nói chuyện với bạn là rất hạnh phúc.,nói chuyện với ngươi vô cùng vui sướng .
468,The eggs are sold by the dozen.,鸡蛋按打卖。,Jīdàn àn dá mài.,Trứng được bán.,trứng gà theo đánh bán .
469,The price just covers the cost.,这个价格正好抵消成本。,Zhège jiàgé zhènghǎo dǐxiāo chéngběn.,Giá bù đắp chi phí.,cái giá tiền này vừa vặn triệt tiêu thành bản .
470,The sweater is of good quality.,这件毛衣质地很好。,Zhè jiàn máoyīzhídì hěn hǎo.,Chiếc áo len này rất tốt.,cái này áo len tính chất rất tốt .
471,The teacher got a little angry.,老师有点生气了。,Lǎoshī yǒudiǎn shēngqìle.,Giáo viên hơi tức giận.,thầy có chút tức giận .
472,Think carefully before you act.,三思而后行。,Sānsī érhòu xíng.,Nghĩ kĩ.,nghĩ lại mà làm sau .
473,Walt invented the steam engine.,瓦特发明了蒸汽机。,Wǎtè fāmíngliǎo zhēngqìjī.,Watt đã phát minh ra động cơ hơi nước.,watt phát minh máy hơi nước .
474,We are divided in our opinions.,我们意见分歧。,Wǒmen yìjiàn fēnqí.,Chúng tôi có những ý kiến ​​khác nhau.,chúng ta y thấy khác nhau .
475,What ever I said，he'd disagree.,不论我说什么他都不同意。,Bùlùn wǒ shuō shénme tā dōu bùtóngyì.,"Không có vấn đề gì tôi nói, anh ấy không đồng ý.",bất luận ta nói cái gì hắn đều không đồng ý .
476,Who ever comes will be welcomed.,来的人我们都欢迎。,Lái de rén wǒmen dōu huānyíng.,Chúng tôi đều được chào đón.,người tới chúng ta đều chào mừng .
477,You look as if you didn't care.,你看上去好像满不在乎。,Nǐ kàn shàngqù hǎoxiàng mǎnbùzàihū.,Bạn dường như không quan tâm.,người nhìn qua hình như chẳng hề để ý .
478,You should look at it yourself.,你应该亲自看看它。,Nǐ yīnggāi qīnzì kàn kàn tā.,Bạn nên tự mình nhìn nó.,ngươi nên tự mình xem ra nó .
479,Draw your chair up to the table.,把你的椅子拉到桌子旁边来。,Bǎ nǐ de yǐzi lā dào zhuōzi pángbiān lái.,Kéo ghế của bạn vào bàn.,đem ngươi cái ghế kéo đến bên cạnh bàn đến .
480,He covered himself with a quilt.,他给自己盖上一条被。,Tā jǐ zìjǐ gài shàng yītiáo bèi.,Anh ấy che đậy chính mình.,hắn cho tự mình đắp lên một cái bị .
481,He found my lecture interesting.,他觉得我讲课有趣。,Tā juédé wǒ jiǎngkè yǒuqù.,Anh ấy nghĩ tôi rất thú vị.,hắn cảm thấy ta giảng bài có hứng .
482,He had a good many friends here.,他在这儿有很多朋友。,Tā zài zhè'er yǒu hěnduō péngyǒu.,Anh ấy có nhiều bạn ở đây.,hắn ở đây mà có rất nhiều bằng hữu .
483,He is only about five feet high.,他大概只有五英尺高。,Tā dàgài zhǐyǒu wǔ yīngchǐ gāo.,Anh ta chỉ cao khoảng năm feet.,hắn khoảng chỉ có ngũ anh xích cao .
484,Her family are all music lovers.,她全家人都是音乐爱好者。,Tā quánjiārén dōu shì yīnyuè àihào zhě.,Cả gia đình là một người yêu âm nhạc.,cả nhà của nàng người đều là âm nhạc kẻ yêu thích .
485,I am busy.How is your business?,我很忙。你的生意做得怎样?,Wǒ hěn máng. Nǐ de shēngyì zuò dé zěnyàng?,Tôi đang rất bận. Doanh nghiệp của bạn làm như thế nào?,ta vô cùng bận bịu . việc buôn bán của ngươi làm được thế nào ?
486,I don't think much of the movie.,我认为那电影不怎么样。,Wǒ rènwéi nà diànyǐng bù zě me yàng.,Tôi nghĩ rằng bộ phim không hay.,ta nhận là vậy phim chiếu rạp không được tốt lắm .
487,I feel like eating an ice-cream.,我想吃一个冰淇淋。,Wǒ xiǎng chī yīgè bīngqílín.,Tôi muốn ăn một loại kem.,ta muốn ăn một kem .
488,I found him seated on the bench.,我发现他在椅子上坐着,Wǒ fāxiàn tā zài yǐzi shàng zuòzhe,Tôi thấy rằng anh ấy đang ngồi trên ghế,ta phát hiện hắn ở đây trên ghế ngồi
489,I gave much time to the old car.,我在这辆破车上花了不少时间。,wǒ zài zhè liàng pò chē shàng huā liǎo bù shǎo shíjiān.,Tôi đã dành rất nhiều thời gian cho chiếc xe bị hỏng này.,ta tại đây chiếc xe nát lên tốn không ít thời gian .
490,I lost the door key about here.,我在这附近掉了门钥匙。,Wǒ zài zhè fùjìn diàole mén yàoshi.,Tôi bỏ chìa khóa cửa gần đó.,ta ở phụ cận đây rụng mất chìa khóa cửa .
491,I'm not guessing，I really know.,我不是在猜想，我真的知道。,"Wǒ bùshì zài cāixiǎng, wǒ zhēn de zhīdào.","Tôi không đoán, tôi thực sự biết.","ta không phải đang đoán nghĩ , ta thật hiểu rõ ."
492,It's time to tell her the truth.,是该告诉她真相的时候了。,Shì gāi gàosù tā zhēnxiàng de shíhòule.,Đã đến lúc nói với cô ấy sự thật.,là nên nói cho nàng chân tướng lúc .
493,Let's watch TV with a candle on.,咱们点上蜡烛看电视吧。,Zánmen diǎn shàng làzhú kàn diànshì ba.,Hãy nhấp vào nến để xem TV.,chúng ta đốt nến xem tivi đi .
494,Most games cost about that much.,大部分游戏差不多都是这个价钱。,Dà bùfèn yóuxì chàbùduō dōu shì zhège jiàqián.,Hầu hết các trò chơi gần như là giá.,đại bộ phận trò chơi hầu như đều là cái giá tiền này .
495,My parents want me to go abroad.,我父母想让我出国。,Wǒ fùmǔ xiǎng ràng wǒ chūguó.,Bố mẹ tôi muốn tôi ra nước ngoài.,cha mẹ ta nghĩ để cho ta xuất ngoại .
