id,zh,py,en,vi,HSK,s1zh,s1py,s1en,s1vi
521,突然,tū rán,"sudden, abrupt, unexpected",đột nhiên,3,我突然意识到可能再也见不着她了。,wǒ tūrán yìshí dào kěnéng zàiyě jiàn bùzháo tā le,I was struck by the sudden realization that I would probably never see her again.,ta đột nhiên ý thức được có thể rốt cuộc thấy không đến nàng .
522,图书馆,tú shū guǎn,library,thư viện,3,我喜欢在图书馆学习。,wǒ xǐhuan zài túshūguǎn xuéxí,I like to study in the library.,ta thích đang thư viện học tập .
523,腿,tuǐ,leg,chân,3,她有着细长的腿。,tā yǒuzhe xìcháng de tuǐ,She has long thin shanks.,nàng có dài nhỏ chân .
524,完成,wán chéng,"to complete, to accomplish",hoàn thành,3,他请求我们帮他完成他的计划。,tā qǐngqiú wǒmen bāng tā wánchéng tā de jìhuà,He asked us to assist him in carrying through his plan.,hắn đề xuất chúng ta giúp hắn hoàn thành hắn kế hoạch .
525,碗,wǎn,"bowl, cup",bát,3,那男孩今天早上吃了三碗米饭。,nà nánhái jīntiān zǎoshang chī le sān wǎn mǐfàn,The boy ate three bowls of rice this morning.,cái kia nam hài buổi sáng hôm nay ăn ba bát cơm .
526,万,wàn,"ten thousand, a great number",vạn,3,万一下雨的话，我们也许得改变计画。,wànyī xiàyǔ dehuà wǒmen yěxǔ dé gǎibiàn jìhuà,If the day turns out wet we may have to change our plans.,"vạn nhất trời mưa , chúng ta biết đâu được sửa đổi kế hoạch ."
527,忘记,wàng jì,to forget,quên,3,我得把电话号码记下来，以免待会儿忘记。,wǒ dé bǎ diànhuà hàomǎ jì xiàlai yǐmiǎn dāihuìr wàngjì,I'll just jot down their phone number before I forget it.,"ta phải đem số điện thoại ghi lại đến , để tránh chờ một lúc quên ."
528,为了,wèi le,"in order to, for the purpose of, so as to",vì,3,这是为了对她自己有好处。,zhè shì wèile duì tā zìjǐ yǒuhǎochù,It is for her own good.,đây là vì đối với nàng tự mình có chỗ tốt .
529,为什么,wèi shén me,"why?, for what reason?",vì sao,3,我总觉得他讨厌我，但我不知道为什么。,wǒ zǒng juéde tā tǎoyàn wǒ dàn wǒ bù zhīdào wèishénme,"I always feel he has a grudge against me, although I don't know why.","cuối cùng ta cảm thấy hắn ghét ta , nhưng ta không biết vì sao ."
530,位,wèi,"position, location, place, seat, classifier for people (honorific), classifier for binary bits (e.g. 十六位 16-bit or 2 bytes)",vị,3,那位技师技术很好。,nà wèi jìshī jìshù hěn hǎo,That technician is highly skilled.,vị kia kỹ sư kỹ thuật rất tốt .
531,文化,wén huà,"culture, civilization, cultural",văn hóa,3,他没多少文化修养。,tā méi duōshao wénhuà xiūyǎng,He is a man of little culture.,hắn không nhiều ít trình độ văn hóa .
532,西,xī,west,tây,3,妈妈准备了好吃的东西给我。,māma zhǔnbèi le hǎochī de dōngxi gěi wǒ,Mother has something delicious in store for me.,mama chuẩn bị ăn ngon thứ gì đó cho ta .
533,习惯,xí guàn,"habit, custom, usual practice, to be used to",quen thuộc,3,你会习惯的。,nǐ huì xíguàn de,You'll get used to it.,ngươi lại thói quen .
534,洗手间,xǐ shǒu jiān,"toilet, lavatory, washroom",toilet,3,请问洗手间怎么走?,Qǐngwèn xǐshǒujiān zěnme zǒu?,Could you tell me where I can wash my hands?,xin hỏi toilet đi như thế nào ?
535,洗澡,xǐ zǎo,"to bathe, to take a shower",tắm rửa,3,我每晚洗澡.,wǒ měi wǎn xǐzǎo,I bath every night.,ta mỗi đêm tắm rửa .
536,夏,xià,summer,hạ,3,春雨带来了夏日百花。,chūnyǔ dàilái le xiàrì bǎi huā,Spring rains bring summer flowers.,mưa xuân mang đến ngày mùa hè bách hoa .
537,先,xiān,"early, prior, former, in advance, first",trước,3,谢谢您，先生。,xièxie nín xiānsheng,"Thank you, sir.","cảm ơn ngài , tiên sinh ."
538,香蕉,xiāng jiāo,banana,chuối tiêu,3,大蕉类似于香蕉。,dà jiāo lèisì yú xiāngjiāo,A plantain is similar to a banana.,lớn tiêu cùng loại với chuối tiêu .
539,相同,xiāng tóng,"identical, same",giống nhau,3,我的想法完全相同。,wǒ de xiǎngfǎ wánquán xiāngtóng,I'm of exactly the same idea.,ta ý nghĩ đầy đủ giống nhau .
540,相信,xiāng xìn,"to be convinced (that sth is true), to believe, to accept sth as true",cùng tin,3,别以为我能相信那件事.,bié yǐwéi wǒ néng xiāngxìn nà jiàn shì,You can scarcely expect me to believe that.,đừng cho là ta có thể cùng tin sự kiện kia .
541,像,xiàng,"to resemble, to be like, to look as if, such as, appearance, image, portrait, image under a mapping (math.)",như,3,好像要下雨了。,hǎoxiàng yào xiàyǔ le,It looks as if it is going to rain.,hình như trời muốn mưa .
542,小心,xiǎo xīn,"to be careful, to take care",cẩn thận,3,她把杯子小心地放在架子边。,tā bǎ bēizi xiǎoxīn dì fàng zài jiàzi biān,She carefully positioned the cup on the edge of the shelf.,nàng đem cốc cẩn thận đặt ở kiêu ngạo bên cạnh .
543,校长,xiào zhǎng,"(college, university) president, headmaster",hiệu trưởng,3,校长表扬男同学服装整齐.,xiàozhǎng biǎoyáng nán tóngxué fúzhuāng zhěngqí,The headmaster praised the boys for their neat turn-out.,hiệu trưởng khen ngợi nam đồng học trang phục chỉnh tề .
544,鞋,xié,shoe,giày,3,他没穿鞋，看上去矮多了。,tā méi chuān xié kànshangqu ǎi duō le,He seems much shorter without his shoes on.,"hắn không xỏ giày , nhìn qua thấp nhiều ."
545,新闻,xīn wén,news,tin tức,3,这一新闻节目只报道国外消息。,zhè yī xīnwén jiémù zhǐ bàodào guówài xiāoxi,This news program only covers external events.,cái này đổi mới hoàn toàn nghe chương trình chỉ đưa tin nước ngoài thông tin .
546,新鲜,xīn xiān,"fresh (experience, food etc), freshness, novel, uncommon",mới mẻ,3,我们出去吸口新鲜空气吧。,wǒmen chūqù xīkǒu xīnxiān kōngqì ba,Let's go out for a breath of fresh air.,chúng ta ra ngoài hấp miệng không khí mới mẻ đi .
547,信,xìn,"letter, mail",tin,3,我们确信能胜利。,wǒmen quèxìn néng shènglì,We are confident of victory.,chúng ta xác thực tin có thể thắng lợi .
548,行李箱,xíng li xiāng,suitcase,hành lý,3,你是不是把护照放在行李箱里了？,nǐ shì bù shì bǎ hùzhào fàng zài xínglǐxiāng lǐ le ？,Did you put your passport in the suitcase?,ngươi là không phải đem hộ chiếu đặt ở trong rương hành lý ?
549,兴趣,xìng qù,"interest (desire to know about sth), interest (thing in which one is interested), hobby",hứng thú,3,我一直对心理学感兴趣。,wǒ yīzhí duì xīnlǐxué gǎnxìngqù,I am always interested in psychology.,ta luôn luôn đối với tâm lý học cảm thấy hứng thú .
550,熊猫,xióng māo,panda,gấu trúc,3,熊猫是珍贵的动物。,xióngmāo shì zhēnguì de dòngwù,Pandas are precious creatures.,gấu trúc là trân quý động vật .
551,需要,xū yào,"to need, to want, to demand, to require, requirement, need",cần,3,这需要时间。,zhè xūyào shíjiān,It takes time.,cái này cần thời gian .
552,选择,xuǎn zé,"to select, to pick, choice, option, alternative",lựa chọn,3,我们除了同意他们之外，没有别的选择。,wǒmen chúle tóngyì tāmen zhīwài méiyǒu biéde xuǎnzé,We have no other choice than to agree with them.,"chúng ta ngoại trừ đồng ý bọn họ bên ngoài , không có cái khác lựa chọn ."
553,眼镜,yǎn jìng,"spectacles, eyeglasses",kính mắt,3,印刷字体太小，我不带眼镜就看不清。,yìnshuā zìtǐ tài xiǎo wǒ bùdài yǎnjìng jiù kànbuqīng,The print is too small for me to read without glasses.,"in ấn kiểu chữ quá nhỏ , ta không mang theo kính mắt thì thấy không rõ ."
554,要求,yāo qiú,"to request, to require, to stake a claim, to ask, to demand",yêu cầu,3,门口有个男人要求见你。,ménkǒu yǒu gè nánrén yāoqiú jiàn nǐ,Some man at the door is asking to see you.,cửa có một người đàn ông yêu cầu thấy ngươi .
555,爷爷,yé ye,"(informal) father's father, paternal grandfather",gia gia,3,他爷爷快七十岁了。,tā yéye kuài qīshí suì le,His grandfather is nearly seventy.,gia gia hắn nhanh đến bảy mươi tuổi .
556,一定,yī dìng,"surely, certainly, necessarily, fixed, a certain (extent etc), given, particular, must",nhất định,3,我的钟一定是坏了。,wǒ de zhōng yīdìng shì huài le,There must be something wrong with my clock.,ta chuông nhất định là bị hỏng rồi .
557,一共,yī gòng,altogether,tổng cộng,3,我们一共捉到10只金丝猴。,wǒmen yīgòng zhuō dào zhǐ jīnsīhóu,Altogether we caught ten golden monkeys.,chúng ta tổng cộng bắt được 10 chỉ khỉ lông vàng .
558,一会儿,yī huì r,"a while, also pr. [yī huǐ r]",một lúc,3,医生一会儿就到。,yīshēng yīhuìr jiù dào,The doctor will be here presently.,bác sĩ một lúc liền đến .
559,一样,yī yàng,"same, like, equal to, the same as, just like",giống nhau,3,他能跑得和我一样快。,tā néng pǎo dé hé wǒ yīyàng kuài,He can run as fast as I can.,hắn có thể chạy và ta giống nhau nhanh đến .
560,以后,yǐ hòu,"after, later, afterwards, following, later on, in the future",về sau,3,步行了四个小时以后，我们开始累了。,bùxíng le sì gè xiǎoshí yǐhòu wǒmen kāishǐ lèi le,After walking for four hours we were beginning to flag.,"đi bộ bốn giờ về sau , chúng ta bắt đầu mệt rồi à ."
561,以前,yǐ qián,"before, formerly, previous, ago",trước kia,3,以前在那里有一个邮局。,yǐqián zài nàli yǒu yī gè yóujú,There used to be a post office there.,trước kia đang chỗ đó có một bưu cục .
562,以为,yǐ wéi,"to believe, to think, to consider, to be under the impression",cho là,3,别以为我能相信那件事.,bié yǐwéi wǒ néng xiāngxìn nà jiàn shì,You can scarcely expect me to believe that.,đừng cho là ta có thể cùng tin sự kiện kia .
563,一般,yī bān,"same, ordinary, so-so, common, general, generally, in general",bình thường,3,一般认为出国旅游可增广见闻。,yībān rènwéi chūguó lǚyóu kě zēngguǎng jiànwén,It is generally thought that traveling abroad can enrich one's knowledge.,bình thường nhận là xuất ngoại du lịch có thể tăng rộng kiến thức .
564,一边,yī biān,"one side, either side, on the one hand, on the other hand, doing while",một bên,3,她常常一边看电视一边织毛衣。,tā chángcháng yībiān kàn diànshì yībiān zhī máoyī,She often knits while watching TV.,nàng thường thường một bên xem tivi một bên dệt áo len .
565,一直,yī zhí,"straight (in a straight line), continuously, always, from the beginning of ... up to ..., all along",luôn luôn,3,她一直想成名。,tā yīzhí xiǎng chéngmíng,She has always been desirous of fame.,nàng luôn luôn muốn trở thành nổi tiếng .
566,音乐,yīn yuè,music,âm nhạc,3,她各种音乐都喜爱，和我一样。,tā gèzhǒng yīnyuè dōu xǐ'ài hé wǒ yīyàng,"She enjoys all kinds of music, as I do.","nàng các loại âm nhạc đều vui yêu , và ta giống nhau ."
567,银行,yín háng,bank,ngân hàng,3,那家破产的银行正被法院调查。,nà jiā pòchǎn de yínháng zhèng bèi fǎyuàn diàochá,The bank of bankruptcy is investigated by the court.,nhà kia phá sản ngân hàng đang bị toà án điều tra .
568,应该,yīng gāi,"ought to, should, must",nên,3,我看你不应该。,wǒ kàn nǐ bù yīnggāi,I don't think you ought to.,ta thấy ngươi không nên nên .
569,影响,yǐng xiǎng,"an influence, an effect, to influence, to affect (usually adversely), to disturb",ảnh hưởng,3,气候影响了他的健康。,qìhòu yǐngxiǎng le tā de jiànkāng,The climate affected his health.,khí hậu ảnh hưởng tới hắn khỏe mạnh .
570,用,yòng,"to use, to employ, to have to, to eat or drink, expense or outlay, usefulness, hence, therefore",dùng,3,不用麻烦了。,bùyòng máfan le,Don't bother.,không cần làm phiền .
571,游戏,yóu xì,game,trò chơi,3,学习英语口语不只是玩游戏而已。,xuéxí Yīngyǔ kǒuyǔ bù zhǐshì wán yóuxì éryǐ,Spoken English learning is not all beer and skittle.,học tập tiếng Anh nói không chỉ là chơi đùa mà thôi .
572,有名,yǒu míng,"famous, well-known",nổi danh,3,"想像一下你又有钱, 又有名的情况.",xiǎngxiàng yīxià nǐ yòu yǒuqián yòu yǒumíng de qíngkuàng,Imagine yourself (to be) rich and famous.,"tưởng tượng một chút ngươi lại có tiền , lại có tiếng tình huống ."
573,又,yòu,"(once) again, also, both... and..., and yet, (used for emphasis) anyway",lại,3,别客气，我又不是外人。,biékèqi wǒ yòu bùshì wàirén,Don't stand on ceremony. I'm no stranger.,"đừng khách khí , ta cũng không phải ngoại nhân ."
574,遇到,yù dào,"to meet, to run into, to come across",gặp được,3,我在街上遇到他。,wǒ zài jiēshang yùdào tā,I met him in the street.,ta trên đường gặp được hắn .
575,愿意,yuàn yì,"to wish, to want, ready, willing (to do sth)",vui lòng,3,我很愿意。谢谢你。,wǒ hěn yuànyì xièxie nǐ,I do very much. Thank you.,ta vô cùng vui lòng . cảm ơn ngươi .
576,越,yuè,"to exceed, to climb over, to surpass, the more... the more",càng,3,疼痛越来越剧烈。,téngtòng yuèláiyuè jùliè,The pain increased in intensity.,đau đớn ngày càng kịch liệt .
577,月亮,yuè liang,moon,mặt trăng,3,太阳，星星和月亮都是天体。,tàiyang xīngxing hé yuèliang dōu shì tiāntǐ,"The sun, the stars and the moon are celestial bodies.","mặt trời , những vì sao và mặt trăng đều là thiên thể ."
578,云,yún,cloud,mây,3,云是天空中的水汽团。,yún shì tiānkōng zhòngdì shuǐqì tuán,A cloud is a mass of vapor in the sky.,mây là trên bầu trời hơi nước đoàn .
579,站,zhàn,"station, to stand, to halt, to stop, branch of a company or organization, website",đứng,3,我们决定立刻去火车站。,wǒmen juédìng lìkè qù huǒchēzhàn,We determined to go to the railway station at once.,chúng ta quyết định ngay lập tức đi trạm xe lửa .
580,着急,zháo jí,"to worry, to feel anxious, Taiwan pron. [zhāo jí]",sốt ruột,3,别为几个差错着急，迟早一切都会得到圆满解决的。,bié wéi jǐge chācuò zháojí chízǎo yīqiè dūhuì dédào yuánmǎn jiějué de,Don't worry about a few mistakes; it'll all come out in the wash.,"đừng có mấy sai lầm sốt ruột , sớm muộn mọi thứ đều lại đạt được viên mãn giải quyết ."
581,照顾,zhào gu,"to take care of, to show consideration, to attend to, to look after",chăm sóc,3,几个星期来她一直呆在家中照顾有病的父亲。,jǐge xīngqī lái tā yīzhí dāi zài jiāzhōng zhàogu yǒu bìng de fùqīn,She has been tied to the house for weeks looking after her invalid father.,mấy cái tuần lễ đến nàng luôn luôn ở lại trong nhà chăm sóc có bệnh bố .
582,照片,zhào piàn,"photograph, picture",bức ảnh,3,我们必须找一个地方放这张新照片。,wǒmen bìxū zhǎo yī gè dìfang fàng zhè zhāng xīn zhàopiàn,We must find a place for this new picture.,chúng ta nhất định phải tìm một chỗ phóng trương này mới bức ảnh .
583,照相机,zhào xiàng jī,camera,máy chụp ảnh,3,我买不起像特德那样的照相机。这要花好大一笔钱。,wǒ mǎibuqǐ xiàng tè dé nàyàng de zhàoxiàngjī zhè yào huā hǎo dàyī bǐ qián,I can't possibly afford to buy a camera like Ted's. It costs the earth.,ta mua không nổi như đặc biệt đức như thế máy chụp ảnh . cái này phải tốn thật lớn một khoản tiền .
584,只,zhī,"classifier for birds and certain animals, one of a pair, some utensils, vessels etc",chỉ,3,你只是说说而已。,nǐ zhǐshì shuōshuō'éryǐ,You are just saying that.,ngươi chỉ nói là nói mà thôi .
585,只,zhǐ,"but, only",chỉ,3,你只是说说而已。,nǐ zhǐshì shuōshuō'éryǐ,You are just saying that.,ngươi chỉ nói là nói mà thôi .
586,终于,zhōng yú,"at last, in the end, finally, eventually",cuối cùng,3,拖了那么久，他终于完成了论文。,tuō le nàme jiǔ tā zhōngyú wánchéng le lùnwén,"After much delay, he finished his paper at last.","kéo lâu như vậy , hắn cuối cùng hoàn thành luận văn ."
587,中间,zhōng jiān,"between, intermediate, mid, middle",ở giữa,3,床单的中间部分磨薄了。,chuángdān de zhōngjiān bùfen mó báo le,The sheets have worn thin in the middle.,ga giường ở giữa bộ phận mài mỏng .
588,种,zhǒng,"abbr. for 物種|物种, genus, race, seed, breed, species, strain, kind, type, has guts (i.e. courage), nerve, classifier for types: kind, sort, classifier for languages",trồng,3,我知道那种感觉。,wǒ zhīdào nàzhǒng gǎnjué,I know the feeling.,ta biết rồi cái loại cảm giác này .
589,重要,zhòng yào,"important, significant, major",quan trọng,3,他是一位非常重要的人物。,tā shì yī wèi fēicháng zhòngyào de rénwù,He is a man of great importance.,hắn là một vị nhân vật vô cùng trọng yếu .
590,周末,zhōu mò,weekend,cuối tuần,3,我的周末过得很无聊--只是在屋子里 转转或者看看电视.,wǒ de zhōumò guò dehěn wúliáo zhǐshì zài wūzi lǐ zhuànzhuan huòzhě kànkan diànshì,My weekend was boring I just floated about (the house) or watched TV.,ta cuối tuần trôi qua vô cùng nhàm chán -- chỉ là trong phòng đi dạo có lẽ xem ra điện xem .
591,主要,zhǔ yào,"main, principal, major, primary",chủ yếu,3,她最主要的品质是善良。,tā zuì zhǔyào de pǐnzhì shì shànliáng,Her most essential quality is kindness.,"nàng chủ yếu nhất, phẩm chất là thiện lương ."
592,祝,zhù,"to wish, to express good wishes, to pray, (old) wizard",chúc,3,祝你下一次好运。,zhù nǐ xiàyīcì hǎoyùn,Better luck next time.,chúc ngươi lần tiếp theo hảo vận .
593,注意,zhù yì,"to take note of, to pay attention to",chú ý,3,我没有注意到他已经走了。,wǒ méiyǒu zhùyì dào tā yǐjīng zǒu le,I failed to note that he had left.,ta không để ý tới hắn đã đi rồi .
594,字典,zì diǎn,"dictionary, character dictionary",từ điển,3,请把字典递给我。,qǐng bǎ zìdiǎn dì gěi wǒ,Please pass the dictionary to me.,xin đem từ điển đưa cho ta .
595,自己,zì jǐ,"oneself, one's own",tự mình,3,这是为了对她自己有好处。,zhè shì wèile duì tā zìjǐ yǒuhǎochù,It is for her own good.,đây là vì đối với nàng tự mình có chỗ tốt .
596,总是,zǒng shì,always,luôn luôn,3,夏天他总是高高兴兴的。,xiàtiān tā zǒngshì gāogāoxìngxìng de,He's always full of cheer in summer.,mùa hè hắn luôn luôn thật cao hứng .
597,最近,zuì jìn,"recent, recently, these days, latest, soon, nearest (of locations), shortest (of routes)",gần đây,3,我最近没有看到他。,wǒ zuìjìn méiyǒu kàn dào tā,I haven't seen him recently.,ta gần đây không nhìn thấy hắn .
598,作业,zuò yè,"school assignment, homework, work, task, operation",làm việc,3,我的英文作业中只有两三处错误。,wǒ de Yīngwén zuòyè zhōng zhǐyǒu liǎng sān chǔ cuòwù,I had no more than 2 or 3 mistakes on my English assignment.,ta tiếng Anh làm việc trong chỉ có hai ba chỗ sai lầm .
599,作用,zuò yòng,"to act on, to affect, action, function, activity, impact, result, effect, purpose, intent, to play a role, corresponds to English -ity, -ism, -ization",ảnh hưởng,3,形容词的作用是描述或增加名词的意思。,xíngróngcí de zuòyòng shì miáoshù huò zēngjiā míngcí de yìsi,The function of an adjective is to describe or add to the meaning of a noun.,hình dung từ ảnh hưởng là miêu tả hoặc gia tăng danh từ ý nghĩa .
600,爱情,ài qíng,"romance, love (romantic)",tình yêu,3,爱情不分贫富。,àiqíng bùfēn pínfù,Love lives in cottages as well as in courts.,tình yêu không phân giàu nghèo .
601,安排,ān pái,"to arrange, to plan, to set up",sắp đặt,4,那事已提前安排好了。,nà shì yǐ tíqián ānpái hǎole,It had been arranged beforehand.,chuyện này đã sớm sắp xếp xong xuôi .
602,安全,ān quán,"safe, secure, safety, security",an toàn,4,管理部门采取了一切合理的安全措施。,guǎnlǐ bùmén cǎiqǔ le yīqiè hélǐ de ānquáncuòshī,The management took all reasonable safety precautions.,bộ môn quản lý khai thác tất cả hợp lý viện pháp an toàn .
603,暗,àn,"to close (a door), to eclipse, muddled, stupid, ignorant, variant of 暗[àn]",ngầm,4,他们不敢走入森林中阴暗的深处。,tāmen bù gǎn zǒurù sēnlín zhōng yīn'àn de shēnchù,They dare not walk into the shadowy depths of the forest.,bọn họ không dám đi vào trong rừng rậm âm u chỗ sâu .
604,按时,àn shí,"on time, before deadline, on schedule",đúng hạn,4,只有这次他是按时到了。,zhǐyǒu zhè cì tā shì ànshí dàoliǎo,Just for once he arrived on time.,chỉ có lần này hắn là đúng hạn đến .
605,按照,àn zhào,"according to, in accordance with, in the light of, on the basis of",dựa theo,4,按照吩咐你的去做.,ànzhào fēnfù nǐ de qù zuò,Do as you are bidden.,dựa theo phân phó ngươi đi làm .
606,包括,bāo kuò,"to comprise, to include, to involve, to incorporate, to consist of",bao gồm,4,以上各点均包括在建议中.,yǐshàng gè diǎn jūn bāokuò zài jiànyì zhōng,The foregoing have all been included in the proposals.,trở lên các chút đồng đều bao gồm đang xây nghị trong .
607,保护,bǎo hù,"to protect, to defend, to safeguard, protection",bảo hộ,4,小学教育受地方政府的保护。,wǒ de qǐjūshì de qiáng shàng guà zhe yīkuài bìtǎn,Primary education comes under the umbrella of local government.,tiểu học giáo dục thụ chỗ chính phủ bảo hộ .
608,保证,bǎo zhèng,"guarantee, to guarantee, to ensure, to safeguard, to pledge",bảo đảm,4,这药保证能让你好好睡一觉。,zhè yào bǎozhèng néng ràng nǐhǎo hǎoshuì yī jué,This medicine will ensure you a good night's sleep.,thuốc này bảo đảm có thể để ngươi hảo hảo ngủ một giấc .
609,抱,bào,"to hold, to carry (in one's arms), to hug or embrace, surround, cherish",ôm,4,见面时，他拥抱了她。,jiànmiàn shí tā yōngbào le tā,He enfolded her when they met.,"gặp mặt thời gian , hắn ôm nàng ."
610,抱歉,bào qiàn,"to be sorry, to feel apologetic, sorry!",thật có lỗi,4,我对此非常抱歉。,wǒ duì cǐ fēicháng bàoqiàn,I'm terribly sorry about that.,ta đối với cái này rất thật có lỗi .
611,报道,bào dào,report,đưa tin,4,这一新闻节目只报道国外消息。,zhè yī xīnwén jiémù zhǐ bàodào guówài xiāoxi,This news program only covers external events.,cái này đổi mới hoàn toàn nghe chương trình chỉ đưa tin nước ngoài thông tin .
612,报名,bào míng,"to sign up, to enter one's name, to apply, to register, to enroll, to enlist",báo danh,4,我已报名参加跳高比赛.,wǒ yǐ bàomíng cānjiā tiàogāo bǐsài,I've entered for the high jump.,ta đã báo danh tham gia nhảy cao tranh tài .
613,倍,bèi,"(two, three etc) -fold, times (multiplier), double, to increase or multiply",lần,4,这条街道比那条短四倍。,zhè tiáo jiēdào bǐ nà tiáo duǎn sì bèi,This street is four times shorter than that one.,con đường này so với cái kia ngắn bốn lần .
614,本来,běn lái,"original, originally, at first, it goes without saying, of course",trước đây,4,太阳是能量的最基本来源。,tàiyang shì néngliàng de zuì jīběn láiyuán,The sun is the ultimate source of energy.,mặt trời là năng lượng tối cơ trước đây nguyên .
615,笨,bèn,"stupid, foolish, silly, slow-witted, clumsy",đần,4,他笨手笨脚的漏接了球。,tā bènshǒubènjiǎo de lòu jiē le qiú,He fumbled the ball and then dropped it.,hắn tay chân vụng về để lọt tiếp bóng .
616,笔记本,bǐ jì běn,notebook,nhật ký,4,吉姆把他的一切支出都记在笔记本里。,jí mǔ bǎ tā de yīqiè zhīchū dōu jì zài bǐjìběn lǐ,Jim entered all his expenses in a notebook.,cát mẫu đem hắn tất cả chi tiêu đều ghi tạc nhật ký trong .
617,毕业,bì yè,"graduation, to graduate, to finish school",tốt nghiệp,4,他毕业于一所知名的外语学院。,tā bìyè yú yī suǒ zhīmíng de wàiyǔ xuéyuàn,He graduated from a famous foreign language institute.,hắn tốt nghiệp ở một chỗ nổi tiếng ngoại ngữ khoa .
618,遍,biàn,"everywhere, all over, classifier for actions: one time",lượt,4,请再说一遍。,qǐng zàishuō yībiàn,"Say that again, please.",mời lặp lại lần nữa .
619,标准,biāo zhǔn,"(an official) standard, norm, criterion",tiêu chuẩn,4,这位老师给他的学生们定下高标准。,zhèwèi lǎoshī gěi tā de xuésheng men dìng xià gāo biāozhǔn,The teacher sets high standard for his pupils.,vị này thầy cho hắn các học sinh định ra tiêu chuẩn cao .
620,表达,biǎo dá,"to voice (an opinion), to express, to convey",biểu đạt,4,"你那篇文章的内容好极了, 但是表达方式不太好.",nǐ nà piān wénzhāng de nèiróng hǎo jíle dànshì biǎodá fāngshì bùtàihǎo,"The content of your essay is excellent, but it's not very well expressed.","ngươi ngày đó văn chương nội dung tốt lắm , nhưng mà phương thức biểu đạt không tốt lắm ."
621,表格,biǎo gé,"form, table",bảng biểu,4,请填写随函附上之表格.,qǐng tiánxiě suí hán fùshàng zhī biǎogé,Please fill in the form enclosed herewith.,mời điền theo văn kiện phụ lên chi bảng biểu .
622,表扬,biǎo yáng,"to praise, to commend",khen ngợi,4,校长表扬男同学服装整齐.,xiàozhǎng biǎoyáng nán tóngxué fúzhuāng zhěngqí,The headmaster praised the boys for their neat turn-out.,hiệu trưởng khen ngợi nam đồng học trang phục chỉnh tề .
623,饼干,bǐng gān,"biscuit, cracker, cookie",bánh bích quy,4,他们把饼干倒在盘子里。,tāmen bǎ bǐnggān dǎo zài pánzi lǐ,They emptied the biscuits onto the plate.,bọn họ đem bánh bích quy đổ vào trong mâm .
624,并且,bìng qiě,"and, besides, moreover, furthermore, in addition",đồng thời,4,他们看着电视里的快步舞并且试图模仿。,tāmen kàn zhe diànshì lǐ de kuàibù wǔ bìngqiě shìtú mófǎng,They watched jig on TV and tried to imitate.,bọn họ xem tivi trong bước nhanh vũ đồng thời cố gắng bắt chước .
625,博士,bó shì,"doctor, court academician (in feudal China), Ph.D.",tiến sĩ,4,她正在攻读博士学位.,tā zhèngzài gōngdú bóshìxuéwèi,She's studying for her doctorate.,nàng đang ra sức học hành bác sĩ học vị .
626,不但,bù dàn,not only (... but also...),chẳng những,4,他不但会说英语，而且还会说法语。,tā bùdàn huì shuō Yīngyǔ érqiě hái huì shuōfa yǔ,He speaks not only English but also French.,"hắn chẳng những sẽ nói tiếng Anh , hơn nữa còn sẽ nói tiếng Pháp ."
627,不过,bù guò,"only, merely, no more than, but, however, anyway (to get back to a previous topic)",chẳng qua,4,想过舒适的生活不过是普通人的本性。,xiǎng guò shūshì de shēnghuó bùguò shì pǔtōngrén de běnxìng,It's only human nature to want a comfortable life.,nghĩ tới dễ chịu đời sống chẳng qua là người bình thường bản tính .
628,不得不,bù dé bù,"have no choice or option but to, cannot but, have to, can't help it, can't avoid",không thể không,4,虽然汤药很苦，我还是不得不喝了。,suīrán tāngyào hěn kǔ wǒ háishi bùdébù hē le,I had to take the herb tea although it's bitter.,"mặc dù chén thuốc vô cùng khổ , ta hay là không thể không uống ."
629,不管,bù guǎn,"no matter (what, how), regardless of, no matter",mặc kệ,4,不管穷还是富，他都快活。,bùguǎn qióng háishi fù tā dōu kuàihuo,He is always happy whether rich or not.,"mặc kệ nghèo hay là giàu , hắn đều khoái hoạt ."
630,不仅,bù jǐn,"not only (this one), not just (...) but also",không chỉ,4,有头脑不仅指受过教育。,yǒu tóunǎo bùjǐn zhǐ shòu guò jiàoyù,Brains are more than just education.,có ý nghĩ không chỉ chỉ nhận qua giáo dục .
631,部分,bù fèn,"part, share, section, piece",bộ phận,4,床单的中间部分磨薄了。,chuángdān de zhōngjiān bùfen mó báo le,The sheets have worn thin in the middle.,ga giường ở giữa bộ phận mài mỏng .
632,擦,cā,"to wipe, to erase, rubbing (brush stroke in painting), to clean, to polish",xoa,4,游泳后，她用毛巾擦干身子。,yóuyǒng hòu tā yòng máojīn cāgān shēnzi,After her swim she dried herself with a towel.,"bơi lội sau , nàng dùng khăn mặt lau khô thân thể ."
633,猜,cāi,to guess,đoán,4,你猜我今天碰见谁了?,nǐ cāi wǒ jīntiān pèngjiàn shéi le,Guess who I bumped into today?,ngươi đoán ta hôm nay đụng thấy người nào ?
